Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,104,4,Some Random Commen with Id 0
1,0,7,197,6,Some Random Commen with Id 1
2,0,7,138,0,Some Random Commen with Id 2
3,1,4,132,8,Some Random Commen with Id 3
4,2,4,175,8,Some Random Commen with Id 4
5,2,4,134,8,Some Random Commen with Id 5
6,3,5,109,4,Some Random Commen with Id 6
7,3,5,75,4,Some Random Commen with Id 7
8,3,5,92,6,Some Random Commen with Id 8
9,3,5,80,0,Some Random Commen with Id 9
10,3,5,154,1,Some Random Commen with Id 10
11,3,5,40,1,Some Random Commen with Id 11
12,4,4,63,7,Some Random Commen with Id 12
13,5,3,135,9,Some Random Commen with Id 13
14,5,3,72,1,Some Random Commen with Id 14
15,5,3,137,1,Some Random Commen with Id 15
16,5,3,15,5,Some Random Commen with Id 16
17,5,3,172,7,Some Random Commen with Id 17
18,5,3,73,1,Some Random Commen with Id 18
19,5,3,138,9,Some Random Commen with Id 19
20,6,1,29,7,Some Random Commen with Id 20
21,6,1,116,1,Some Random Commen with Id 21
22,6,1,2,8,Some Random Commen with Id 22
23,6,1,76,6,Some Random Commen with Id 23
24,7,5,128,0,Some Random Commen with Id 24
25,7,5,192,4,Some Random Commen with Id 25
26,7,5,82,0,Some Random Commen with Id 26
27,7,5,0,1,Some Random Commen with Id 27
28,8,8,97,2,Some Random Commen with Id 28
29,8,8,159,8,Some Random Commen with Id 29
30,8,8,79,9,Some Random Commen with Id 30
31,8,8,119,2,Some Random Commen with Id 31
32,8,8,177,9,Some Random Commen with Id 32
33,9,3,143,5,Some Random Commen with Id 33
34,9,3,97,0,Some Random Commen with Id 34
35,9,3,31,2,Some Random Commen with Id 35
36,9,3,91,6,Some Random Commen with Id 36
37,9,3,32,2,Some Random Commen with Id 37
38,9,3,106,8,Some Random Commen with Id 38
39,9,3,13,5,Some Random Commen with Id 39
40,11,5,90,4,Some Random Commen with Id 40
41,11,5,70,0,Some Random Commen with Id 41
42,11,5,166,0,Some Random Commen with Id 42
43,11,5,69,8,Some Random Commen with Id 43
44,12,9,86,0,Some Random Commen with Id 44
45,12,9,64,7,Some Random Commen with Id 45
46,12,9,196,1,Some Random Commen with Id 46
47,12,9,46,6,Some Random Commen with Id 47
48,12,9,61,9,Some Random Commen with Id 48
49,12,9,171,4,Some Random Commen with Id 49
50,12,9,8,2,Some Random Commen with Id 50
51,13,5,124,9,Some Random Commen with Id 51
52,14,2,163,1,Some Random Commen with Id 52
53,14,2,82,4,Some Random Commen with Id 53
54,14,2,61,6,Some Random Commen with Id 54
55,14,2,120,2,Some Random Commen with Id 55
56,14,2,153,3,Some Random Commen with Id 56
57,14,2,199,7,Some Random Commen with Id 57
58,15,4,14,3,Some Random Commen with Id 58
59,15,4,192,4,Some Random Commen with Id 59
60,15,4,152,1,Some Random Commen with Id 60
61,16,2,128,3,Some Random Commen with Id 61
62,16,2,185,0,Some Random Commen with Id 62
63,16,2,70,8,Some Random Commen with Id 63
64,16,2,167,9,Some Random Commen with Id 64
65,16,2,46,1,Some Random Commen with Id 65
66,16,2,116,6,Some Random Commen with Id 66
67,16,2,87,2,Some Random Commen with Id 67
68,16,2,162,4,Some Random Commen with Id 68
69,16,2,193,2,Some Random Commen with Id 69
70,17,5,168,2,Some Random Commen with Id 70
71,17,5,173,0,Some Random Commen with Id 71
72,17,5,29,4,Some Random Commen with Id 72
73,17,5,80,6,Some Random Commen with Id 73
74,17,5,163,0,Some Random Commen with Id 74
75,17,5,8,3,Some Random Commen with Id 75
76,17,5,95,2,Some Random Commen with Id 76
77,17,5,189,5,Some Random Commen with Id 77
78,17,5,48,3,Some Random Commen with Id 78
79,18,6,182,1,Some Random Commen with Id 79
80,18,6,131,3,Some Random Commen with Id 80
81,18,6,168,3,Some Random Commen with Id 81
82,18,6,184,6,Some Random Commen with Id 82
83,18,6,181,7,Some Random Commen with Id 83
84,18,6,28,5,Some Random Commen with Id 84
85,18,6,68,3,Some Random Commen with Id 85
86,18,6,39,5,Some Random Commen with Id 86
87,18,6,151,5,Some Random Commen with Id 87
88,19,8,2,6,Some Random Commen with Id 88
89,19,8,101,2,Some Random Commen with Id 89
90,19,8,122,6,Some Random Commen with Id 90
91,19,8,187,6,Some Random Commen with Id 91
92,19,8,0,6,Some Random Commen with Id 92
93,19,8,107,5,Some Random Commen with Id 93
94,19,8,188,7,Some Random Commen with Id 94
95,19,8,171,3,Some Random Commen with Id 95
96,20,8,13,4,Some Random Commen with Id 96
97,20,8,144,8,Some Random Commen with Id 97
98,21,1,16,4,Some Random Commen with Id 98
99,21,1,15,9,Some Random Commen with Id 99
100,21,1,98,2,Some Random Commen with Id 100
101,21,1,64,6,Some Random Commen with Id 101
102,21,1,74,7,Some Random Commen with Id 102
103,21,1,25,7,Some Random Commen with Id 103
104,21,1,22,6,Some Random Commen with Id 104
105,22,6,129,7,Some Random Commen with Id 105
